Time,Time (s),Angle,Length
9:29:00,34140,360,2.425
9:35:00,34500,358.5,2.3
9:40:00,34800,358,2.2
9:45:00,35100,357,2.122
9:50:00,35400,356,2.058
9:55:00,35700,354.5,1.958
10:00:00,36000,353.5,1.905
10:05:00,36300,352.5,1.826
10:10:00,36600,351.5,1.75
10:15:00,36900,350,1.712
10:20:00,37200,348.5,1.652
10:25:00,37500,347.5,1.601
10:30:00,37800,346,1.562
10:35:00,38100,345,1.5
10:40:00,38400,343.5,1.461
10:45:00,38700,342,1.412
10:50:00,39000,341,1.37
10:55:00,39300,339,1.332
11:00:00,39600,338,1.298
11:05:00,39900,336.5,1.255
11:10:00,40200,335,1.221
11:15:00,40500,334,1.213
